customer_id,customer_name,gender,city,signup_date
1,Aisha Malhotra,Male,Jaipur,2026-04-01
2,Riya Gupta,Male,Mumbai,2025-01-20
3,Kavya Chavan,Female,Nagpur,2025-12-02
4,Aisha Nair,Male,Pune,2024-05-26
5,Anjali Patil,Male,Pune,2026-01-12
6,Nikhil Bhosale,Male,Pune,2025-07-10
7,Sameer Malhotra,Female,Pune,2025-09-19
8,Sahil Malhotra,Female,Delhi,2025-03-12
9,Nikhil Singh,Male,Ahmedabad,2024-01-01
10,Varun Kulkarni,Male,Kolkata,2026-02-10
11,Nikhil Deshmukh,Female,Chennai,2025-05-04
12,Ananya Mishra,Male,Pune,2025-07-06
13,Sneha Iyer,Female,Ahmedabad,2025-06-09
14,Kavya Pawar,Female,Delhi,2024-03-23
15,Pooja Gupta,Female,Chennai,2024-10-29
16,Meera Mehta,Male,Chennai,2025-10-01
17,Aisha Reddy,Male,Pune,2024-11-04
18,Vikas Patil,Male,Bangalore,2026-03-20
19,Varun Pawar,Male,Jaipur,2024-10-16
20,Ayush Iyer,Male,Mumbai,2025-02-22
21,Amit Malhotra,Female,Hyderabad,2025-02-09
22,Sahil Deshmukh,Male,Jaipur,2024-01-18
23,Aisha Bhosale,Male,Delhi,2026-01-09
24,Meera Chavan,Male,Delhi,2024-05-03
25,Rohan Malhotra,Male,Delhi,2025-03-03
26,Sameer Joshi,Male,Kolkata,2026-04-07
27,Ishaan Kulkarni,Male,Delhi,2026-06-24
28,Neha Sharma,Female,Delhi,2024-07-28
29,Pooja Joshi,Female,Mumbai,2024-12-08
30,Sameer Nair,Male,Nagpur,2025-05-30
31,Vivek Jain,Female,Ahmedabad,2025-09-29
32,Ishaan Bhosale,Male,Bangalore,2024-08-15
33,Kavya Shah,Male,Jaipur,2025-05-15
34,Vivek Deshmukh,Female,Hyderabad,2026-01-30
35,Aisha Kulkarni,Female,Jaipur,2025-11-25
36,Sneha Joshi,Male,Pune,2026-03-20
